src,dst,attack
161.69.48.219,161.69.45.5,0
102.14.150.100,65.17.103.139,0
64.154.167.132,208.163.38.87,0
67.213.221.92,121.186.6.101,0
210.20.99.19,43.8.164.102,0
65.77.80.37,35.240.203.254,0
65.77.80.37,35.240.203.254,0
153.193.47.190,102.29.125.33,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
43.204.28.8,210.29.60.184,0
128.175.117.26,35.240.203.254,0
153.193.117.204,10.97.82.116,0
65.77.80.37,35.240.203.254,0
208.233.255.107,10.27.30.61,0
97.220.165.136,104.239.136.169,0
5.253.88.225,83.239.249.140,0
161.69.48.219,161.69.45.5,0
153.193.47.190,102.29.125.33,0
65.77.80.37,35.240.203.254,0
65.77.80.37,35.240.203.254,0
61.207.116.70,67.231.114.165,0
146.2.212.117,139.16.85.56,0
43.8.225.243,153.193.46.109,0
161.69.48.219,161.69.45.5,0
208.233.255.107,10.27.30.61,0
153.193.47.190,102.29.125.33,0
100.126.5.20,184.100.40.46,0
100.126.5.20,184.100.40.46,0
100.126.5.20,184.100.40.46,0
146.2.215.129,139.178.82.250,0
161.69.48.219,161.69.45.5,0
208.233.255.107,10.27.30.61,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
153.193.47.190,102.29.125.33,0
43.139.101.98,1.15.166.226,0
146.2.215.129,139.178.82.250,0
146.2.215.129,139.178.82.250,0
111.205.228.155,36.33.61.162,0
221.19.166.221,58.146.173.231,0
207.136.150.222,1.96.166.199,0
146.2.215.129,139.178.82.250,0
71.101.197.174,199.50.21.98,0
214.104.165.237,35.240.203.196,0
65.77.80.37,35.240.203.254,0
198.88.219.116,66.150.217.25,0
161.69.48.219,161.69.45.5,0
210.108.49.173,36.123.170.227,0
208.233.255.107,10.27.30.61,0
43.224.185.36,208.163.38.13,0
153.193.47.190,102.29.125.33,0
157.104.33.42,74.238.192.25,0
68.171.242.236,35.240.210.245,0
154.151.74.255,65.42.237.82,0
140.47.42.36,35.240.203.254,0
155.138.246.75,107.188.253.113,0
220.152.207.46,67.231.126.191,0
39.113.100.138,141.246.18.103,0
198.88.219.22,198.88.218.136,0
161.69.48.219,161.69.45.5,0
146.2.215.129,139.178.82.250,0
67.144.236.89,148.246.205.82,0
198.88.219.22,198.88.221.48,0
74.71.98.134,216.241.76.219,0
208.233.255.107,10.27.30.61,0
74.71.98.134,216.241.76.219,0
153.193.47.190,102.29.125.33,0
