"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"192",704,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"193",705,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"194",706,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"195",707,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"196",708,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"197",709,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"198",710,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"199",711,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"200",712,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"201",713,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"202",714,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"203",715,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"204",716,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"205",717,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"206",718,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"207",719,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"208",720,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"209",721,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"210",722,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"211",723,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"212",724,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"213",725,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"214",726,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"215",727,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"216",728,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"217",729,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"218",730,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"219",731,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"220",732,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"221",733,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"222",734,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"223",735,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"224",736,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"225",737,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"226",738,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"227",739,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"228",740,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
